what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.commons.ui",1333762030424
started,bundle,org.eclipse.mylyn.commons.workbench,3.7.0.v20120319-0200,"org.eclipse.mylyn.commons.workbench",1333762030425
started,bundle,org.eclipse.mylyn.context.core,3.7.0.v20120319-0200,"org.eclipse.mylyn.context.core",1333762030426
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.context.tasks.ui",1333762030428
started,bundle,org.eclipse.mylyn.monitor.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.monitor.ui",1333762030430
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.tasks.ui",1333762030431
os,sysinfo,,,"win32",1333762030459
arch,sysinfo,,,"x86",1333762030459
ws,sysinfo,,,"win32",1333762030459
locale,sysinfo,,,"en_US",1333762030459
processors,sysinfo,,,"2",1333762030459
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1333762030459
java.runtime.version,sysinfo,,,"1.6.0_31-b05",1333762030459
java.specification.name,sysinfo,,,"Java Platform API Specification",1333762030459
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333762030459
java.specification.version,sysinfo,,,"1.6",1333762030459
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1333762030459
java.version,sysinfo,,,"1.6.0_31",1333762030459
java.vm.info,sysinfo,,,"mixed mode, sharing",1333762030459
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1333762030459
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1333762030459
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333762030459
java.vm.specification.version,sysinfo,,,"1.0",1333762030459
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1333762030460
java.vm.version,sysinfo,,,"20.6-b01",1333762030460
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1333762030631
started,bundle,com.google.gdt.eclipse.designer.hosted,2.5.0.r37x201112291019,"com.google.gdt.eclipse.designer.hosted",1333762030632
